,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
97,97,1581721001708072960,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MoniSaidIt @sonicdrivein Right!,0,,,
98,98,1581720600178933761,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein when are you guys gonna make carbonated water as an option in the app?,0,,,
99,99,1581715944711151616,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein come on now is this what we doin https://t.co/vlIPDZXjS6,0,,,
100,100,1581713850209968128,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Faketriots @sonicdrivein Illegal? @sonicdrivein,0,,,
101,101,1581711340560785408,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Senior pictures were too exhausting, must have @sonicdrivein! 😂 https://t.co/9TfD9HQjrE",0,,,
102,102,1581710736123781121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein https://t.co/NNocN3Kc3T,0,,,
103,103,1581710601528971270,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","https://t.co/GV9H7kuzRF

#sonicdrivein @sonicdrivein #donorschoose #clearthelist #teachertwitter 
Would do anything to get books to our kids! 
Please help if you see this! 📚🚀🚀🚀♥️🙏🙏 https://t.co/FeC3OUBath",0,,,
104,104,1581710048870682624,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 1}","@sonicdrivein this is disgusting I was drinking my orange juice and my girl wanted ice so she opened it and there was a fly in it, I called the sonic in canyon Texas about it and they told me “flies are a problem there and she doesn’t know what I want her to tell me”Im disgusted https://t.co/zil2VqsB8L",1,,,
105,105,1581708778763743233,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","New IFB and Groyper member Richard Shawn Barnish (online as Josiah King / Godgunsgutsglory) of Glendale, Arizona put a anti-Semitic flyer on a @sonicdrivein drive-thru menu

See my previous thread about Richard here: https://t.co/JVHSaV3DXk https://t.co/mjtLjScAtl",1,,,
106,106,1581706880295968773,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@sonicdrivein I miss sonic breakfast 💔😭,2,,,
107,107,1581702023996506112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein I wish McDonald's could serve biscuits all day!,0,,,
108,108,1581700272576790528,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein When are you gonna bring the breakfast French toaster back?,0,,,
109,109,1581696189627453440,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",@sonicdrivein Thank you for understanding me 😭,2,,,
110,110,1581692839443849217,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",@sonicdrivein OK sounds good give me 20 min I'll be there,2,,,
111,111,1581691760148815872,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Bravo. https://t.co/vzeiEcVcqU,0,,,
112,112,1581690137389322240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Check out my classroom on @DonorsChoose! I'd love your help to bring my project to life:  https://t.co/EYBbK3qfct 
@sonicdrivein",0,,,
113,113,1581686485345935362,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Congrats Carhop Makayla @sonicdrivein in Hot Springs. U got a top rating on https://t.co/ehiyu0GrTU #sonic,0,,,
114,114,1581686482292523008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Carhop Makayla in Hot Springs got a top rating on https://t.co/ehiyu0GrTU Follow &amp; we'll DM the info. #howdididotoday,0,,,
115,115,1581677705539440640,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@_Crypto_Tech_ @Whataburger @FiveGuys @sonicdrivein Airdrop:MAGICDOGE
REWARD TOTAL :1000USDT &amp; 5.000.000 $MGD
✅Top1:300USDT
✅Top2:200USDT
✅Top3-5:100USDT
✅Top6-20:40USDT
✅Top21-100:62.500 $MGD
End:21th Oct
Join:https://t.co/7yxwROWbkv 
https://t.co/h7cbrA0jto
@magicdogeglobal

#dogecoin #BSC #MAGICDOGEBNB #8144",0,,,
116,116,1581674380312031232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@radveggies @sonicdrivein Me and my sis. Not “us” as in me and all the other people inside me.,1,,,
